,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.803,0.727,0.651,0.721,0.751,-0.025,0.001s
GD43 (↑),1.505,1.360,1.048,1.057,1.328,0.015,0.000s
GD53 (↑),0.217,0.500*,0.485*,0.378*,0.472*,0.464*,0.000s
PS (↑),1.742,1.392,1.502,1.765*,1.315,1.991*,0.000s
rCIP (↓),0.021,0.045,0.052,0.007*,0.041,0.851,0.001s
WB (↓),1.912,3.575,4.771,3.053,3.628,4626.608,0.000s
XB (↓),0.260,0.375,0.543,0.377,0.349,1785.080,0.000s
SSE (↓),87.269,143.774,157.984,135.468,144.544,224.070,0.000s
RS (↑),-0.014,-0.282,-0.391,-0.160,-0.218,-1.994,0.000s
DH (↓),0.429,0.595,0.638,0.569,0.577,0.997,0.001s
B (↓),0.383,0.650,1.001,0.749,0.570,1016.667,0.000s
BH (↓),29.090,71.887,78.992,67.734,72.272,74.690,0.000s
D (↑),0.250,0.239,0.270*,0.251*,0.204,0.094,0.000s
H (↓),0.505,0.546,0.697,0.517,0.494*,2.997,0.000s
DBCV (↑),0.569,-0.974,-0.902,-0.760,-0.911,-0.974,0.014s
I (↑),0.491,0.385,0.295,0.397,0.410,0.000,0.000s
C (↓),0.137,0.197,0.253,0.195,0.202,0.505,0.004s
CDbw (↑),0.073,0.015,0.018,0.044,0.020,0.006,0.007s
VIASCKDE (↑),0.553,0.572*,0.526,0.535,0.522,-0.134,0.006s
COP (↓),0.256,0.333,0.294,0.343,0.339,0.362,0.003s
Sym (↑),0.055,0.018,0.009,0.017,0.017,0.000,0.001s
CS (↓),1.167,1.602,1.945,1.490,1.482,76.991,0.000s
SF (↑),0.309,0.308,0.305,0.325*,0.311*,0.113,0.000s
SD (↓),433803.611,715426.906,689588.123,698009.285,650037.818,989051.042,0.010s
SDbw (↓),1.191,1.460,1.628,1.692,1.429,2.916,0.001s
XB* (↓),0.363,0.376,0.559,0.499,0.370,1873.253,0.000s
S (↑),0.439,0.373,0.332,0.404,0.362,-0.016,0.003s
DB (↓),0.760,1.124,1.283,1.101,1.070,66.766,0.001s
CH (↑),311.495,222.681,166.852,260.737,219.375,0.129,0.000s
ED-S (↑),0.675,0.403,0.588,0.220,0.543,-0.238,0.664s
ED-DB (↓),0.407,0.616,0.522,1.502,1.399,4.835,0.181s
ED-CH (↑),574.500,762.120*,693.943*,483.850,880.751*,122.273,0.188s
AD-S (↑),0.698,0.390,0.490,0.270,0.427,-0.102,0.015s
AD-DB (↑),0.662,1.177*,1.008*,1.413*,1.166*,3.087*,0.014s
AD-CH (↑),623.096,739.825*,671.208*,438.706,784.778*,117.613,0.018s
AD-idea (↑),5.817,1.402,1.727,1.584,1.402,1.413,0.027s
