,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.959,0.382,0.933,0.923,0.914,-0.042,0.001s
GD43 (↑),6.857,0.438,3.533,3.351,3.339,0.025,0.000s
GD53 (↑),0.238,0.432*,0.390*,0.419*,0.459*,0.386*,0.000s
PS (↑),1.634,1.838*,1.868*,1.899*,1.963*,1.283,0.000s
rCIP (↓),0.000,0.163,0.029,0.031,0.043,1.926,0.001s
WB (↓),0.189,12.258,0.583,0.671,0.748,249.323,0.000s
XB (↓),0.051,1.525,0.073,0.084,0.093,390.613,0.000s
SSE (↓),5.269,76.587,20.099,22.382,24.244,88.025,0.000s
RS (↑),0.834,-0.700,0.555,0.501,0.456,-1.970,0.000s
DH (↓),0.170,0.806,0.304,0.323,0.340,0.978,0.000s
B (↓),0.040,3.089,0.147,0.170,0.190,56.589,0.000s
BH (↓),1.756,38.294,10.049,11.191,12.122,29.342,0.000s
D (↑),0.745,0.062,0.574,0.459,0.406,0.025,0.000s
H (↓),0.118,1.194,0.133,0.153,0.171,2.947,0.000s
DBCV (↑),0.845,-0.968,-0.826,-0.879,-0.909,-0.994,32.975s
I (↑),8.969,0.128,2.601,2.307,2.084,0.005,0.000s
C (↓),0.002,0.417,0.041,0.059,0.073,0.481,0.001s
CDbw (↑),0.226,0.028,0.051,0.033,0.044,0.029,2.058s
VIASCKDE (↑),0.566,0.334,0.468,0.493,0.472,-0.097,0.022s
COP (↓),0.208,0.466,0.300,0.310,0.317,0.518,0.001s
Sym (↑),0.470,0.021,0.145,0.117,0.093,0.004,0.001s
CS (↓),0.503,3.115,0.667,0.781,0.858,22.532,0.000s
SF (↑),0.530,0.228,0.475,0.460,0.447,0.092,0.000s
SD (↓),5792.113,88913.200,23320.496,26178.258,29665.390,105783.306,0.003s
SDbw (↓),0.188,2.029,0.895,0.943,1.002,2.752,0.001s
XB* (↓),0.079,1.766,0.093,0.100,0.102,461.566,0.000s
S (↑),0.733,0.144,0.647,0.617,0.595,-0.053,0.002s
DB (↓),0.365,2.173,0.478,0.511,0.541,27.635,0.001s
CH (↑),930.550,19.253,405.012,351.668,315.589,0.704,0.001s
AD-S (↑),0.730,0.090,0.413,0.402,0.390,-0.028,0.005s
AD-DB (↓),0.556,1.755,1.429,1.450,1.484,3.710,0.005s
AD-CH (↑),196.916,88.389,116.238,116.131,116.595,30.635,0.005s
AD-idea (↑),91.652,0.776,2.540,2.951,2.765,0.257,0.009s
