,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.639,0.311,0.843*,0.828*,0.823*,-0.044,0.000s
GD43 (↑),0.584,0.554,2.095*,2.302*,2.257*,0.010,0.000s
GD53 (↑),0.025,0.444*,0.324*,0.438*,0.478*,0.456*,0.000s
PS (↑),1.509,1.899*,1.312,1.254,1.240,2.034*,0.000s
rCIP (↓),0.457,0.331*,0.015*,0.034*,0.043*,1.564,0.000s
WB (↓),2.617,16.732,1.626*,2.272*,2.686,30123.010,0.000s
XB (↓),0.909,2.089,0.156*,0.198*,0.228*,6563.119,0.000s
SSE (↓),19.215,36.839,18.491*,21.935,23.638,41.238,0.000s
RS (↑),-0.156,-0.794,-0.055*,-0.117*,-0.078*,-2.011,0.000s
DH (↓),0.443,0.857,0.449,0.474,0.474,0.990,0.000s
B (↓),0.568,4.244,0.257*,0.309*,0.351*,6976.393,0.000s
BH (↓),6.405,18.419,9.246,10.968,11.819,13.746,0.000s
D (↑),0.131,0.100,0.357*,0.214*,0.170*,0.016,0.000s
H (↓),0.669,1.350,0.306*,0.344*,0.352*,2.999,0.000s
DBCV (↑),-0.077,-0.985,0.516*,-0.941,-0.838,-0.991,0.003s
I (↑),0.356,0.040,0.599*,0.480*,0.454*,0.000,0.000s
C (↓),0.233,0.433,0.079*,0.136*,0.177*,0.472,0.000s
CDbw (↑),0.217,0.035,0.032,0.050,0.023,0.037,0.187s
VIASCKDE (↑),0.407,0.310,0.448*,0.432*,0.440*,-0.077,0.001s
COP (↓),0.370,0.340*,0.277*,0.244*,0.248*,0.353*,0.001s
Sym (↑),0.057,0.017,0.077*,0.056,0.047,0.000,0.001s
CS (↓),1.489,4.014,1.285*,1.428*,1.394*,194.956,0.000s
SF (↑),0.387,0.326,0.421*,0.406*,0.420*,0.202,0.000s
SD (↓),94132.462,231742.103,128713.305,142594.802,142800.821,290492.681,0.002s
SDbw (↓),1.553,2.530,1.243*,1.313*,1.389*,2.805,0.001s
XB* (↓),2.039,2.353,0.240*,0.226*,0.238*,7019.511,0.000s
S (↑),0.356,0.123,0.563*,0.515*,0.493*,-0.027,0.001s
DB (↓),0.878,2.477,0.702*,0.762*,0.733*,124.574,0.001s
CH (↑),67.060,14.105,145.186*,103.862*,87.878*,0.006,0.000s
AD-S (↑),0.364,0.064,0.483*,0.442*,0.470*,0.015,0.004s
AD-DB (↓),1.214,2.745,1.282,1.389,1.279,6.082,0.004s
AD-CH (↑),69.801,66.679,90.735*,80.085*,83.220*,13.357,0.004s
AD-idea (↑),5.238,0.975,2.756,2.394,2.529,0.232,0.008s
