,HDBSCAN,AgglomerativeClustering,KMeans,SpectralClustering,DBSCAN,MeanShift
cSIL,-0.38299754865208663,-0.30149200997188913,0.2739086847283934,0.08210362033783475,0.07918622928337221,-0.044723396857762505
GD43,-0.4946403023807417,0.3466931468677942,0.6135990222582847,0.4824850411688154,0.025565696390113243,0.04890630461362249
GD53,-0.42660704583708847,0.10076315427328891,0.29345512156314707,0.15421705440653882,-0.09329919001803,-0.17270800719568663
PS,-0.16304042264660318,-0.17680377693152266,0.15345866801985222,0.07461490931630141,-0.10556717510773884,-0.14580280723473452
rCIP,0.11038369273816129,-0.5518126814713782,-0.1263165711598203,-0.2883183943166887,0.34218239071571477,-0.1338956532341772
WB,0.27307830928241955,0.8102897041057792,0.5489436488978552,0.7121948885618553,0.435623848483086,0.3477882359850299
XB,-0.333411934662918,-0.10766136334417484,0.20384420213621793,0.1946694746555607,0.06877223003158843,-0.09052507523821485
SSE,-0.2712512010054611,0.4537224103205009,0.07720583685037812,0.31610407030306253,0.18127756621069505,0.2480038471353085
RS,-0.03404401455843691,-0.3648843133945287,0.4272312090795451,0.06425543828399694,0.3030872131967232,0.14234670724534257
DH,0.12464849256859704,-0.25992293467388466,0.23859796774632724,0.03380312582512416,0.3366339484914037,0.16178828565444361
B,-0.12850005708781775,0.314988937296781,0.04437045929923141,0.14141053412927831,0.3139849227962675,0.07415488331041035
BH,0.05318169934484649,0.5272048519862003,0.05414805005136329,0.2975691311223466,0.298164749069514,0.35604512707544284
D,-0.43401625826410545,-0.328098087967531,0.016859537791529065,-0.03717111019076137,-0.02597846056948593,-0.6892430278884463
H,-0.4733110725623428,-0.6128288039183253,-0.13222025570256324,-0.17977968541963188,-0.14642196762207452,-0.22139359307536
DBCV,-0.436935847900167,-0.5224127045422582,0.523930343948414,0.17819332624013517,-0.0547808764940239,-0.00993391687570195
I,-0.07843001644665748,-0.3465224874680298,-0.09304800920826269,-0.19573575446592542,0.2595248283484146,-0.1422311125762435
C,-0.12672452161750208,0.45692506006534994,0.3416834783469684,0.531922878436403,0.28022196926579396,0.04430888159904004
VIASCKDE,-0.10898287991495556,0.22181072587868883,-0.1639902808508328,-0.08974106531024618,0.2934983668911191,-0.38556883576803896
COP,-0.4002258471578763,0.34406344173816855,0.06489102318155379,0.06831121488077112,-0.190951773165904,-0.12917519806370278
Sym,-0.29995549236975855,0.2788539106547379,-0.054024283079817326,0.2182433762643614,0.14710485281891278,0.0678016919267228
CS,-0.38221024355183414,-0.4424975850167462,0.008911221951310075,-0.09346535414989779,0.13239436753702152,0.04614123772093087
SF,-0.4058198570807228,-0.19171515394238295,0.1565899723999654,0.22483264049334706,-0.12334613867891431,-0.05463383356630371
SD,0.27152516290895673,-0.32622750307169357,-0.16689976112974494,-0.08106670634691625,0.38841940925164,0.18519078764689273
SDbw,0.49580525666838776,-0.30020647257537375,0.31913017925359977,-0.021268549196949694,0.3273159199530036,0.617942917649324
XB*,-0.400272894556845,-0.2470512309977455,0.3031514457794176,0.04851345679918893,-0.02377310999881982,-0.036193410828381074
S,-0.46220622504643794,0.11664241387537269,0.17555107244080848,0.14695944036341838,0.14975103295666112,-0.15563286952491776
DB,-0.390533438704825,-0.36563158565976533,0.15017884327388395,-0.018879305159660215,0.044472898444092974,-0.022433493555392012
CH,0.2813424789110447,0.8076044636766688,0.477765263561766,0.5521060947582046,0.42395789303709874,0.1847771754715226
AD-S,-0.34924120899775557,-0.4827621699489394,0.014833609233740866,-0.3982078872268044,0.048342581226176566,-0.5591898236684953
AD-DB,-0.32137400688809986,-0.5198607747120972,-0.024307833211629146,-0.08964505957684919,0.03761559292584192,-0.3936585487002598
AD-CH,0.1156500811899069,0.7164892906882743,0.22483508051041504,0.2089049954169363,0.2619149265373486,0.11466629941287526
AD-idea,0.1602787435671867,0.2052044741018277,0.06308402539698256,-0.1377869385633831,0.3566652475986599,-0.3609127463445368
