,KMeans,MeanShift,DBSCAN,SpectralClustering,AgglomerativeClustering,HDBSCAN
cSIL,-0.43011028963959236,,,-0.06310027557852615,-0.6297047612723404,-0.6457199406234536
GD43,-0.3702511791299073,,,-0.14726835815046277,-0.3891391568989365,-0.7843527788751424
GD53,0.4054379994927583,,,0.33697896856188736,0.47803341419167605,-0.8850920637756473
PS,-0.7419402496282969,,-0.5,0.2934825506971828,-0.1278824562387637,-0.43592281048985654
WB,-0.9462426372071032,,,-0.0007721689711620629,-0.0017155175392246915,-0.13013359722909448
XB,-0.33333547447068407,,,-0.2428488573615158,-0.47188365899036117,-0.7674418604651162
SSE,-0.2939086979203881,,,-0.017922661025679232,0.08604029284394075,-0.6546264225630876
RS,-0.9247371227251235,,,-0.3300113705202256,-0.8245346108685506,-0.7615042058386937
DH,-0.31899846481603095,,,-0.23854833118988766,-0.685206887945029,0.5625927758535378
B,-0.3154142124023677,,,0.12422115175919116,-0.178001874143962,0.26867887184562095
BH,0.057348038618612304,,,0.270340435319233,0.5843876102408408,0.033151904997525974
D,-0.3239708184969428,,,0.2638654722009735,0.8126861533671423,-0.7632495077102813
H,-0.94265838479344,,,-0.277556666331922,-0.8490046265989454,-0.8189015338941117
DBCV,0.17690382706085522,,,0.07633981698873134,0.6086181770589745,-0.8358854107575977
I,-0.956995394448093,,,-0.21322349389198977,-0.49536729827378423,-0.7773379515091539
C,-0.37276225102098,,,0.14546815120524273,-0.058452651863405224,-0.19643740722414646
VIASCKDE,,,,,,
COP,-0.4014362703302862,,,0.18322992796677007,0.44425118874144337,0.6912419594260267
Sym,-0.46236856136256177,,,-0.043699727561039604,0.005740389349465829,-0.7466600692726373
CS,-0.3942677655029596,,,-0.07127534476000427,-0.6702642493277549,-0.6041563582384958
SF,,,0.5,,,-0.8147101804312025
SD,0.544806366876817,,1.0,0.15904798618692356,0.23544436413588105,-0.5714992577931717
SDbw,,,,,,
XB*,-0.33032213040021147,,,-0.2723504781721618,-0.5369973587426891,-0.8071307004838902
S,-0.8888945985884908,,,0.1458517037963284,0.03691794411706143,-0.09351806036615537
DB,-0.33691972688434735,,,-0.1163855351433301,-0.5988749316491583,-0.6130628401781296
CH,-0.5698961337724598,,,0.1518991360348307,0.10739485376783837,0.7258782780801584
AD-S,-0.8279623075562152,,,0.2622210416173998,0.05161966118358508,0.7268678871845621
AD-DB,-0.3655937461936535,,,-0.030555276601672208,-0.6631230602999751,0.2528451261751608
AD-CH,-0.5698961337724598,,,0.06670381252571324,0.23758761348278773,0.4854032657100445
AD-idea,-0.7992882882469091,,,0.6181591419306559,0.06888332507891452,0.8377041068777832
