,ecoli,glass,ionosphere,sonar,statlog,wdbc,wine,yeast
cSIL,0.22572799680673727,-0.1731065365592835,-0.1648981197289472,-0.7150814088513233,-0.3716641559128611,-0.45494314814746356,-0.2685903726048378,-0.5910755717268213
GD43,0.437405764173412,-0.06585068595677879,-0.6080838588982682,-0.7034758779717908,0.4978044339893892,-0.08891912265987327,-0.04894741008623642,-0.5995193987308047
GD53,0.10271694181281937,0.06769601589166191,-0.3741934664177323,0.12042094777725945,0.6610379881051216,0.33525191679168626,-0.12387563450250462,0.46636050112048044
PS,-0.06853928417604181,-0.12340595820349481,0.24244936274496945,0.5785332011900858,0.5743066870065838,0.5425939075172079,0.7320793236498102,0.618481459367691
rCIP,0.287677896612136,-0.28473394520553374,-0.42234637622907223,-0.5468061664913009,-0.3548339926393855,-0.27192865873185224,-0.55809866923121,-0.5871218040934852
WB,0.13508866328637706,0.22224702579869,0.45853687948058747,0.6631043337363208,0.8641882628993182,0.8725446897647587,0.8283803862567214,0.8949573433887261
XB,0.5734511802007122,0.020199171233792276,-0.4401757883154789,-0.5406912112797964,0.32688483649715766,-0.02118379960125848,-0.21308871158236783,-0.28856426141349867
SSE,0.3755630470429554,-0.09500353690206122,0.5971805789627225,0.6374411280302812,0.7299249826740764,0.5672445454541051,0.776949999303277,0.7981323376020574
RS,0.19183597171579328,-0.27833373239979464,-0.5843433775068417,-0.44525694539652233,0.06681977460102044,0.11594456551828314,-0.4975672039908415,-0.2708317471512169
DH,0.20259928971742933,-0.4311637438393859,-0.26046065054607537,-0.5178479586234795,-0.46148597063608066,-0.33896759295298545,0.21863494723939014,-0.45878580105756966
B,0.6068729504074857,-0.2105029269401998,-0.34355227882890044,-0.44417637030830137,0.382235212760043,-0.40598813847525517,0.27687307095255753,-0.008976683276171075
BH,0.2463084290815855,0.2623530962626707,0.3781351400994992,0.2774567309081453,0.3132500076650734,0.01022122856722985,0.13032728655052578,0.35630570174107384
D,0.50518422022111,0.18791716179769458,-0.5277065378273025,-0.3453693568312885,0.12354776269034916,-0.22731198275114686,-0.3536546210806926,0.14757155360141727
H,0.28808488609296773,-0.2979855136369655,-0.6851873776703165,-0.5451940119028545,-0.2689942925060122,-0.24265770009341803,-0.4986185830976415,-0.4772591574467745
DBCV,-0.3394323101485385,0.22866839290032373,-0.31464413409091757,-0.6581057975486436,-0.29281843072827,-0.7470851985438037,-0.48744684366602614,-0.716563779534554
I,-0.014896505760052204,0.09597406348644318,-0.29571661679540867,-0.5210234332110146,0.38825779555295953,-0.34032921309959685,-0.5136403955578605,-0.001956200359333833
C,0.3878722112488942,0.5215380016281733,0.30212283482684615,-0.29858418330492076,0.5526262498948461,0.15600322305635453,0.9076331629772096,-0.24860400952597403
VIASCKDE,0.40305778187383773,-0.0340616425445187,-0.07746974047932156,-0.7174562476453284,0.2593046806345819,0.26602351500112287,0.5301395499283766,0.24881181646398096
COP,-0.0013714043904432705,-0.40994973443764976,0.3576920563048608,0.4344725903459541,0.8345317976045021,0.6057201220273645,0.3978772468500442,0.11725567914348135
Sym,0.6267806573660516,0.011051976696340072,-0.1618038882276404,-0.5742234678840765,0.7660338321750123,0.05719124996979001,0.4651260487571751,0.43987783834123095
CS,0.28379203037563644,-0.3059880510341529,-0.3685207898808598,-0.624100667456442,-0.4535175324946156,-0.2226371752507236,0.12446530651412227,-0.45785452383825387
SF,-0.3403075819693705,-0.1594557586823189,-0.5013166999888871,-0.2581033835129591,-0.12877680386605492,0.003811468473142131,-0.3279561548846013,-0.5711457300791438
SD,0.138282524084627,-0.37039301884974263,-0.1341010974983842,-0.311153168251033,-0.1267821961503859,-0.28297670458695323,0.2985668088267707,-0.21607149070240364
SDbw,0.19565888671485335,-0.6172413490258196,-0.445085937469802,-1.0,-0.24684101869010772,0.020601680368418047,0.0361849983326976,-0.1653030153068643
XB*,0.30175660935545645,-0.20131150393686564,-0.40321885322545326,-0.6011355427778902,0.3770505888973273,-0.055827493948438785,0.17005230475069974,-0.32272118049793935
S,0.6644938891626884,0.41718945893196224,0.05714611037740407,-0.5869947123580572,0.5469509898664464,-0.07138947730249515,0.6440780575319994,-0.23180104424455134
DB,0.2974737144260462,-0.44311050688013315,-0.3560197904499365,-0.6111469479422064,0.03664330868085953,-0.19255871922773451,0.12406465190891727,-0.2812890268449172
CH,0.5290865692232436,0.2301606388848441,0.4371239172159512,0.5602903837800679,0.7943641052374931,0.8615413861619062,0.6893900638746647,0.8932747423256613
AD-S,-0.04010459389368766,0.20897982635604825,-0.2772692516365096,-0.6840807271406405,-0.3357137621050817,-0.2395303201665026,-0.5044258946704717,-0.66338474020794
AD-DB,0.24441106832948886,-0.2696803687899625,-0.504519793986909,-0.6804312415749307,-0.4422708761764644,-0.404721564754564,-0.549055520872541,-0.42768906297077436
AD-CH,0.22612023630546746,0.5412385591405864,0.2725748657728006,0.29720903320605946,0.5208051862226443,0.7846595069660602,0.03212226388215347,0.563895018851331
AD-idea,-0.12882099161356295,-0.3666087224322329,-0.05333368804353632,-0.33927289401161387,0.13398052402344202,0.09028263201911442,-0.22272926009865515,-0.11481434048472312
