,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.802,0.704,0.700,0.702,0.571,-0.120,0.001s
GD43 (↑),1.821,1.439,1.382,1.157,0.858,0.030,0.001s
GD53 (↑),0.108,0.446*,0.452*,0.340*,0.353*,0.349*,0.000s
PS (↑),2.046,1.482,1.524,1.861,1.721,1.549,0.000s
rCIP (↓),0.424,0.092*,0.120*,0.099*,0.111*,2.592,0.001s
WB (↓),0.991,3.611,3.842,3.096,5.199,248.091,0.001s
XB (↓),0.278,0.406,0.442,0.386,0.638,529.825,0.000s
SSE (↓),12.178,39.456,40.322,37.249,44.276,60.337,0.000s
RS (↑),0.257,-0.325,-0.260,-0.182,-0.517,-2.941,0.000s
DH (↓),0.331,0.611,0.611,0.590,0.675,0.973,0.001s
B (↓),0.179,0.746,0.830,0.779,1.266,48.333,0.000s
BH (↓),3.044,19.728,20.161,18.625,22.138,15.084,0.000s
D (↑),0.270,0.123,0.182,0.152,0.163,0.011,0.000s
H (↓),0.614,0.588*,0.592*,0.517*,0.778,3.931,0.000s
DBCV (↑),-0.171,-0.813,-0.967,-0.990,-0.860,-0.984,0.013s
I (↑),0.485,0.240,0.216,0.237,0.137,0.002,0.000s
C (↓),0.088,0.217,0.272,0.240,0.269,0.484,0.001s
CDbw (↑),0.176,0.028,0.033,0.021,0.029,0.027,0.415s
VIASCKDE (↑),0.421,0.367,0.340,0.274,0.390,-0.114,0.006s
COP (↓),0.267,0.365,0.331,0.335,0.389,0.418,0.005s
Sym (↑),0.084,0.037,0.030,0.044,0.032,0.002,0.002s
CS (↓),1.035,1.725,1.938,1.624,2.158,22.047,0.001s
SF (↑),0.365,0.363,0.375*,0.376*,0.331,0.113,0.000s
SD (↓),520415.515,1852387.404,1754395.429,1741553.034,2389746.623,2672658.948,0.010s
SDbw (↓),0.838,1.723,1.860,1.753,2.022,2.700,0.002s
XB* (↓),0.536,0.456*,0.490*,0.568,0.904,644.628,0.000s
S (↑),0.452,0.378,0.330,0.360,0.320,-0.069,0.008s
DB (↓),0.680,1.130,1.107,1.085,1.492,25.633,0.003s
CH (↑),219.213,91.390,85.886,106.581,63.478,0.876,0.001s
MST-S (↑),0.359,0.211,0.124,0.158,-0.043,-0.012,0.013s
MST-DB (↓),1.362,1.791,1.694,1.732,1.959,15.773,0.009s
MST-CH (↑),73.597,125.532*,169.823*,166.495*,133.359*,11.393,0.015s
