,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.234,0.533*,0.768*,0.718*,0.763*,-0.049,0.001s
GD43 (↑),0.115,0.818*,1.689*,1.376*,1.561*,0.024,0.000s
GD53 (↑),0.008,0.489*,0.496*,0.487*,0.468*,0.432*,0.000s
PS (↑),-0.270,1.950*,1.937*,1.937*,1.911*,0.964*,0.000s
rCIP (↓),1.407,0.114*,0.042*,0.021*,0.008*,1.868,0.000s
WB (↓),14.282,7.019*,2.411*,3.136*,2.481*,257.935,0.000s
XB (↓),19.593,0.877*,0.301*,0.392*,0.310*,717.837,0.000s
SSE (↓),122.873,122.408*,85.968*,96.036*,87.089*,154.884,0.000s
RS (↑),-1.330,-0.556*,-0.093*,-0.221*,-0.105*,-2.928,0.000s
DH (↓),0.574,0.728,0.556*,0.601,0.555*,0.983,0.001s
B (↓),1.854,1.766*,0.607*,0.789*,0.624*,51.295,0.000s
BH (↓),30.718,61.204,42.984,48.018,43.545,38.721,0.000s
D (↑),0.010,0.123*,0.222*,0.226*,0.249*,0.016*,0.000s
H (↓),2.003,0.934*,0.463*,0.563*,0.472*,3.938,0.000s
DBCV (↑),-0.180,-0.992,-0.832,-0.905,-0.893,-0.992,0.006s
I (↑),0.145,0.159*,0.538*,0.341*,0.472*,0.003,0.000s
C (↓),0.442,0.314*,0.160*,0.203*,0.159*,0.497,0.001s
CDbw (↑),0.430,0.015,0.005,0.025,0.010,0.009,0.458s
VIASCKDE (↑),0.557,0.423,0.467,0.479,0.471,-0.147,0.003s
COP (↓),0.208,0.227,0.228,0.225,0.211,0.260,0.003s
Sym (↑),0.023,0.009,0.017,0.021,0.038*,0.002,0.001s
CS (↓),3.198,2.697*,1.516*,1.654*,1.497*,26.417,0.000s
SF (↑),0.183,0.282*,0.366*,0.321*,0.351*,0.066,0.000s
SD (↓),659813.056,869679.542,624431.362*,805635.745,743493.949,1102860.973,0.005s
SDbw (↓),1.677,2.062,1.445*,1.768,1.749,2.526,0.002s
XB* (↓),30.122,0.897*,0.304*,0.402*,0.331*,776.987,0.000s
S (↑),0.066,0.256*,0.420*,0.379*,0.427*,-0.044,0.001s
DB (↓),5.806,1.704*,0.927*,1.164*,0.989*,32.763,0.002s
CH (↑),27.634,84.910*,247.219*,190.060*,240.198*,1.530,0.000s
ED-S (↑),0.192,0.091,0.366*,0.257*,0.149,-0.074,0.366s
ED-DB (↓),2.979,1.949*,1.438*,0.519*,1.472*,5.240,0.110s
ED-CH (↑),67.504,226.495*,450.303*,431.436*,343.611*,36.241,0.115s
AD-S (↑),0.285,0.045,0.281,0.087,0.046,0.005,0.009s
AD-DB (↓),2.032,2.112,1.365*,1.737*,1.786*,3.638,0.010s
AD-CH (↑),83.354,278.721*,400.718*,305.254*,310.419*,52.516,0.011s
AD-idea (↑),0.800,0.446,1.057*,1.321*,1.397*,0.066,0.019s
