,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.507,0.506,0.804*,0.710*,0.790*,-0.067,0.000s
GD43 (↑),0.460,0.779*,1.973*,1.368*,1.851*,0.029,0.000s
GD53 (↑),0.007,0.490*,0.488*,0.491*,0.489*,0.431*,0.000s
PS (↑),0.996,1.932*,1.947*,1.963*,1.963*,2.250*,0.000s
rCIP (↓),0.627,0.120*,0.025*,0.022*,0.007*,0.984,0.002s
WB (↓),8.581,7.808*,1.947*,3.260*,2.125*,1630.147,0.000s
XB (↓),1.148,0.976*,0.243*,0.407*,0.266*,476.886,0.000s
SSE (↓),94.428,101.455,62.858*,78.981*,65.648*,127.208,0.000s
RS (↑),-0.259,-0.592,0.013*,-0.239*,-0.030*,-2.000,0.000s
DH (↓),0.430,0.728,0.514,0.601,0.525,0.994,0.000s
B (↓),1.158,1.967,0.491*,0.821*,0.535*,369.606,0.000s
BH (↓),31.476,50.728,31.429*,39.491,32.824,42.403,0.000s
D (↑),0.151,0.120,0.314*,0.219*,0.269*,0.007,0.000s
H (↓),0.708,0.987,0.391*,0.579*,0.420*,2.991,0.000s
DBCV (↑),0.729,-0.993,-0.895,-0.938,-0.938,-0.990,0.009s
I (↑),0.295,0.141,0.669*,0.323*,0.558*,0.001,0.000s
C (↓),0.432,0.319*,0.126*,0.211*,0.137*,0.502,0.000s
CDbw (↑),1.019,0.007,0.006,0.038,0.010,0.012,0.530s
VIASCKDE (↑),0.657,0.439,0.455,0.459,0.459,-0.109,0.002s
COP (↓),0.187,0.244,0.215,0.222,0.199,0.257,0.003s
Sym (↑),0.090,0.010,0.023,0.020,0.060,0.002,0.000s
CS (↓),1.433,2.805,1.206*,1.702,1.340*,46.597,0.000s
SF (↑),0.346,0.283,0.390*,0.323,0.371*,0.125,0.000s
SD (↓),485017.165,912206.010,588538.389,843278.420,700688.844,1151471.947,0.006s
SDbw (↓),1.403,1.912,1.269*,1.779,1.637,2.700,0.001s
XB* (↓),1.896,0.995*,0.249*,0.415*,0.272*,526.149,0.000s
S (↑),0.136,0.259*,0.463*,0.376*,0.455*,-0.029,0.002s
DB (↓),1.422,1.786,0.821*,1.181*,0.899*,36.073,0.001s
CH (↑),43.179,63.523*,254.807*,152.168*,233.443*,0.227,0.000s
ED-S (↑),0.467,0.120,0.349,0.334,0.388,-0.062,0.304s
ED-DB (↓),0.959,2.450,0.588*,0.614*,0.520*,28.202,0.098s
ED-CH (↑),127.266,145.556*,410.515*,390.832*,450.735*,28.574,0.102s
MST-S (↑),0.862,0.049,0.383,0.376,0.378,0.008,0.006s
MST-DB (↓),0.225,6.071,1.038,1.057,1.052,29.491,0.008s
MST-CH (↑),433.111,66.236,401.617,394.181,396.020,21.409,0.009s
idea (↑),25.456,0.403,3.296,3.585,4.369,0.061,0.015s
